Semana,Producto_ID,State_ID,cluster,Demanda_uni_equil
3,31309,1.0,22,26347.0
3,31580,1.0,22,2466.0
3,35724,1.0,22,34.0
3,36940,0.0,22,0.0
3,48126,1.0,22,44.0
3,34616,0.0,22,4.0
3,36960,32.0,22,1545.0
3,45308,1.0,22,7.0
3,34769,10.0,22,138.0
3,31594,5.0,22,2880.0
3,32960,17.0,22,106.0
3,42453,6.0,22,1479.0
3,31467,32.0,22,627.0
3,31586,6.0,22,750.0
3,30575,14.0,22,28438.0
3,31392,31.0,22,215.0
3,32934,26.0,22,1060.0
3,8864,26.0,22,244.0
3,35453,28.0,22,110.0
3,31625,2.0,22,104.0
3,35516,19.0,22,709.0
3,30416,29.0,22,123.0
3,1182,8.0,16,22103.0
3,4245,29.0,22,789.0
3,43335,10.0,22,1575.0
3,7829,2.0,22,1061.0
3,35456,16.0,22,950.0
3,40886,12.0,22,1693.0
3,43006,24.0,22,2018.0
3,42227,5.0,22,3565.0
3,4944,9.0,22,860.0
3,4085,9.0,22,11896.0
3,35635,7.0,22,5277.0
3,49972,7.0,22,56.0
3,32428,9.0,22,78.0
3,43156,13.0,22,689.0
3,33244,7.0,22,39.0
3,8768,1.0,22,9.0
3,31485,1.0,22,176.0
3,43039,1.0,22,16688.0
3,34554,0.0,22,0.0
3,30178,1.0,22,77.0
3,48119,0.0,22,1614.0
3,42453,0.0,22,4711.0
3,42086,2.0,22,4189.0
3,3160,19.0,22,427.0
3,48578,10.0,22,4883.0
3,40430,7.0,22,1608.0
3,49779,9.0,22,448.0
3,34056,32.0,22,62.0
3,47840,14.0,22,3383.0
3,4270,20.0,22,2105.0
3,72,15.0,6,3452.0
3,46772,31.0,22,4551.0
3,49736,1.0,22,1049.0
3,31590,26.0,22,101.0
3,1160,28.0,22,7396.0
3,33267,28.0,22,28.0
3,43000,19.0,22,2304.0
3,1150,29.0,22,19564.0
3,31470,28.0,22,75.0
3,30554,29.0,22,76.0
3,43023,11.0,22,542.0
3,43335,5.0,22,5358.0
3,32838,11.0,22,309.0
3,43070,5.0,22,4357.0
3,35972,12.0,22,234.0
3,43256,12.0,22,80.0
3,1250,7.0,25,40443.0
3,3894,9.0,22,23576.0
3,30571,9.0,22,42878.0
3,33736,7.0,22,55.0
3,31393,9.0,22,1445.0
3,40985,13.0,22,2940.0
3,31520,17.0,22,40.0
3,49782,13.0,22,75.0
3,1238,3.0,29,26642.0
3,48019,3.0,22,226.0
3,34077,1.0,22,1162.0
3,36001,1.0,22,0.0
3,36988,1.0,22,3801.0
3,36598,0.0,22,6440.0
3,48118,1.0,22,30.0
3,32953,0.0,22,4215.0
3,665,1.0,22,170.0
3,1120,0.0,22,19487.0
3,31200,0.0,22,1752.0
3,4468,0.0,22,21.0
3,30195,10.0,22,1542.0
3,34081,11.0,22,20.0
3,31207,5.0,22,108.0
3,41935,12.0,22,8.0
3,46074,17.0,22,320.0
3,46106,17.0,22,839.0
3,40886,16.0,22,16013.0
3,40217,32.0,22,2569.0
3,31485,32.0,22,82.0
3,2025,6.0,22,7790.0
3,325,6.0,3,313.0
3,46876,6.0,22,3055.0
3,35453,15.0,22,2165.0
3,37058,31.0,22,7359.0
3,43285,31.0,22,27741.0
3,35651,31.0,22,2948.0
3,48029,20.0,22,116.0
3,41843,26.0,22,2460.0
3,31520,28.0,22,200.0
3,32861,27.0,22,582.0
3,3919,29.0,22,911.0
3,31596,29.0,22,36.0
3,31780,2.0,22,98.0
3,36536,19.0,22,1297.0
3,44102,5.0,22,58514.0
3,31184,5.0,22,7713.0
3,32861,11.0,22,7785.0
3,32864,12.0,22,3521.0
3,33267,12.0,22,64.0
3,30252,24.0,22,76.0
3,1216,9.0,22,23088.0
3,42434,9.0,22,4891.0
3,35977,9.0,22,116.0
3,35455,7.0,22,20901.0
3,33734,7.0,22,266.0
3,1144,9.0,22,4870.0
3,43060,9.0,22,5432.0
3,32278,7.0,22,92.0
3,30214,24.0,22,13.0
3,47886,24.0,22,0.0
3,1309,1.0,22,106149.0
3,5621,1.0,22,1687.0
3,43136,1.0,22,7198.0
3,44371,0.0,22,6188.0
3,632,0.0,29,3359.0
3,48374,11.0,22,62.0
3,41921,11.0,22,20.0
3,31170,7.0,22,28370.0
3,2816,7.0,22,16.0
3,1220,16.0,22,26702.0
3,36749,16.0,22,73.0
3,43064,2.0,22,30621.0
3,31392,26.0,22,165.0
3,630,28.0,1,140.0
3,1144,19.0,22,1883.0
3,972,29.0,22,739.0
3,34264,2.0,22,4522.0
3,34204,29.0,22,1822.0
3,31467,10.0,22,1716.0
3,43180,27.0,22,522.0
3,31309,29.0,22,1223.0
3,30572,5.0,22,129892.0
3,32815,11.0,22,2117.0
3,43014,5.0,22,0.0
3,48578,12.0,22,5536.0
3,43067,12.0,22,8344.0
3,43178,24.0,22,5023.0
3,46716,24.0,22,85.0
3,43223,24.0,22,589.0
3,31485,7.0,22,62.0
3,48136,7.0,22,103.0
3,37005,13.0,22,9479.0
3,35841,13.0,22,787.0
3,37273,13.0,22,910.0
3,33264,9.0,22,136.0
3,43028,9.0,22,531.0
3,43341,9.0,22,396.0
3,43335,7.0,22,124.0
3,1309,24.0,22,4028.0
3,35241,13.0,22,154.0
3,47332,24.0,22,323.0
3,34469,24.0,22,235.0
3,32302,3.0,22,8.0
3,34226,1.0,22,6728.0
3,6469,0.0,22,1837.0
3,32222,0.0,22,26.0
3,34495,0.0,22,24.0
3,30190,32.0,22,1036.0
3,5712,2.0,22,36.0
3,31031,32.0,22,38.0
3,2505,32.0,22,33.0
3,1146,6.0,22,38882.0
3,43069,14.0,22,7488.0
3,45293,1.0,22,4764.0
3,1129,2.0,1,18985.0
3,43038,27.0,22,909.0
3,40450,27.0,22,327.0
3,48417,19.0,22,6954.0
3,1125,19.0,1,47482.0
3,42083,19.0,22,7.0
3,1240,29.0,29,26729.0
3,37005,29.0,22,3939.0
3,31467,8.0,22,4180.0
3,634,29.0,16,48.0
3,43192,19.0,22,647.0
3,43202,29.0,22,17.0
3,45182,26.0,22,6.0
3,34787,27.0,22,95.0
3,34206,28.0,22,2816.0
3,34054,28.0,22,144.0
3,5917,28.0,22,30.0
3,30572,11.0,22,78259.0
3,43203,11.0,22,45362.0
3,43206,12.0,22,174211.0
3,31184,12.0,22,1302.0
3,31513,7.0,22,5648.0
3,44371,13.0,22,6745.0
3,43075,13.0,22,1435.0
3,30187,7.0,22,280.0
3,34054,13.0,22,4115.0
3,5000,13.0,22,12369.0
3,31520,6.0,22,540.0
3,32873,3.0,22,10861.0
3,43067,1.0,22,16531.0
3,43215,1.0,22,19601.0
3,32204,32.0,22,2206.0
3,44285,2.0,22,846.0
3,35975,29.0,22,18.0
3,5716,2.0,22,18.0
3,43119,12.0,22,52.0
3,40430,9.0,22,5695.0
3,49442,7.0,22,275.0
3,35147,32.0,22,121.0
3,1064,6.0,25,15229.0
3,31423,14.0,22,3581.0
3,1240,20.0,29,49815.0
3,31507,20.0,22,6288.0
3,35651,15.0,22,44825.0
3,4259,15.0,22,1789.0
3,34768,15.0,22,244.0
3,35412,1.0,22,3738.0
3,1700,2.0,22,7101.0
3,32302,27.0,22,96.0
3,42616,19.0,22,76.0
3,35107,19.0,22,1954.0
3,47336,19.0,22,13.0
3,34866,29.0,22,2358.0
3,32642,10.0,22,42.0
3,34258,26.0,22,109.0
3,34210,28.0,22,1050.0
3,43196,28.0,22,22.0
3,31586,10.0,22,610.0
3,30549,11.0,22,8807.0
3,43344,12.0,22,770.0
3,34914,12.0,22,1902.0
3,45296,5.0,22,2771.0
3,31498,12.0,22,491.0
3,31207,9.0,22,108.0
3,43274,7.0,22,5484.0
3,42436,7.0,22,38.0
3,135,13.0,28,121.0
3,34206,13.0,22,14615.0
3,43220,13.0,22,761.0
3,49028,13.0,22,2668.0
3,43192,13.0,22,102.0
3,35132,6.0,22,33.0
3,1146,3.0,22,51968.0
3,43307,3.0,22,126178.0
3,30551,1.0,22,1299.0
3,31184,0.0,22,3696.0
