,Producto_ID,NombreProducto,short_name,brand,weight,pieces,short_name_processed,cluster
0,0,NO IDENTIFICADO 0,NO IDENTIFICADO ,IDENTIFICADO,,,identific,14
1,9,Capuccino Moka 750g NES 9,Capuccino Moka ,NES,750.0,,capuccin mok,8
2,41,Bimbollos Ext sAjonjoli 6p 480g BIM 41,Bimbollos Ext sAjonjoli ,BIM,480.0,6.0,bimboll ext sajonjoli,18
3,53,Burritos Sincro 170g CU LON 53,Burritos Sincro ,LON,170.0,,burrit sincr,27
4,72,Div Tira Mini Doradita 4p 45g TR 72,Div Tira Mini Doradita ,TR,45.0,4.0,div tir mini doradit,6
5,73,Pan Multigrano Linaza 540g BIM 73,Pan Multigrano Linaza ,BIM,540.0,,pan multigran linaz,11
6,98,Tostado Integral 180g WON 98,Tostado Integral ,WON,180.0,,tost integral,17
7,99,Pan Blanco 567g WON 99,Pan Blanco ,WON,567.0,,pan blanc,19
8,100,Super Pan Bco Ajonjoli 680g SP WON 100,Super Pan Bco Ajonjoli ,WON,680.0,,sup pan bco ajonjoli,23
9,106,Wonder 100pct mediano 475g WON 106,Wonder ,WON,475.0,,wond,2
10,107,Wonder 100pct gde 680g SP WON 107,Wonder ,WON,680.0,,wond,2
11,108,Baguette Precocida Cong 280g DH 108,Baguette Precocida Cong ,DH,280.0,,baguett precoc cong,12
12,109,Pan Multicereal 475g WON 109,Pan Multicereal ,WON,475.0,,pan multicereal,13
13,112,Tostado Integral 180g WON 112,Tostado Integral ,WON,180.0,,tost integral,17
14,122,Biscotel Receta Original 410g CU SUA 122,Biscotel Receta Original ,SUA,410.0,,biscotel recet original,4
15,123,Super Bollos 5in 8p 540g WON 123,Super Bollos ,WON,540.0,8.0,sup boll,20
16,125,Bollos 8p 450g WON 125,Bollos ,WON,450.0,8.0,boll,20
17,131,Bollos BK 4in 36p 1635g SL 131,Bollos BK ,SL,1635.0,36.0,boll bk,28
18,132,Bollos BK 5in 30p 1730g SL 132,Bollos BK ,SL,1730.0,30.0,boll bk,28
19,134,Bollos BK 4in 30p 1635g TIR SL 134,Bollos BK ,SL,1635.0,30.0,boll bk,28
20,135,Bollos BK 5in 20p 1730g TIR SL 135,Bollos BK ,SL,1730.0,20.0,boll bk,28
21,141,Hot Dogs 8p 290g WON 141,Hot Dogs ,WON,290.0,8.0,hot dogs,10
22,145,Super Hot Dogs 8p 435g WON 145,Super Hot Dogs ,WON,435.0,8.0,sup hot dogs,10
23,151,Medias Noches 24p 470g BK SL 151,Medias Noches ,SL,470.0,24.0,medi noch,7
24,157,Bollo WB 5in snAjn 20p 1950g SL 157,Bollo WB ,SL,1950.0,20.0,boll wb,20
25,160,Molido Bolsa 180g WON 160,Molido Bolsa ,WON,180.0,,mol bols,9
26,161,Bollos KFC 5in 15p 1237g WON 161,Bollos KFC ,WON,1237.0,15.0,boll kfc,21
27,162,Molido 25Kg WON 162,Molido ,WON,25000.0,,mol,9
28,163,Molido 5Kg WON 163,Molido ,WON,5000.0,,mol,9
29,179,Tostado Int 0pct Grasa Azucar 200g WON 179,Tostado Int ,WON,200.0,,tost int,15
30,183,Tortillas Harina 260g 10p WON 183,Tortillas Harina ,WON,260.0,10.0,tortill harin,21
31,202,Bollos 5in 12p 976g SL 202,Bollos ,SL,976.0,12.0,boll,20
32,205,Bollos 4in 18p 1000g SL 205,Bollos ,SL,1000.0,18.0,boll,20
33,214,Bollos Carls Jr 1080g SL 214,Bollos Carls Jr ,SL,1080.0,,boll carls jr,20
34,217,Hot Dog Estilo Sonora 500g BIM 217,Hot Dog Estilo Sonora ,BIM,500.0,,hot dog estil sonor,10
35,248,Marias 170g TAB LAR 248,Marias ,LAR,170.0,,mari,22
36,303,Dalmata 1p 55g MLA 303,Dalmata ,MLA,55.0,1.0,dalmat,26
37,306,Chocotorro Fresa 1p 50g MLA 306,Chocotorro Fresa ,MLA,50.0,1.0,chocotorr fres,24
38,308,Dalmata 1p 55g MLA 308,Dalmata ,MLA,55.0,1.0,dalmat,26
39,321,Tuinky Chocolate 2p 76g WON 321,Tuinky Chocolate ,WON,76.0,2.0,tuinky chocolat,0
40,322,Tuinky Fresas con Crema 2p WON 322,Tuinky Fresas con Crema ,WON,,2.0,tuinky fres crem,3
41,323,Tuinky Chocolate 3p 114g WON 323,Tuinky Chocolate ,WON,114.0,3.0,tuinky chocolat,0
42,325,Tuinky Vainilla 3p 114g WON 325,Tuinky Vainilla ,WON,114.0,3.0,tuinky vainill,3
43,328,Tuinky Fresas Crema 3p 114g WON 328,Tuinky Fresas Crema ,WON,114.0,3.0,tuinky fres crem,3
44,357,Panitos Chocolate 30g WON 357,Panitos Chocolate ,WON,30.0,,panit chocolat,0
45,412,Canelitas Inst 30g MLA 412,Canelitas Inst ,MLA,30.0,,canelit inst,16
46,523,Dalmata 1p 55g Tira MLA 523,Dalmata ,MLA,55.0,1.0,dalmat,26
47,614,Bombonete SC 55g Cj MLA 614,Bombonete SC ,MLA,55.0,,bombonet sc,5
48,617,Canelitas 900g MLA 617,Canelitas ,MLA,900.0,,canelit,16
49,630,Nito ME 4p 248g BIM 630,Nito ME ,BIM,248.0,4.0,nit,1
50,632,Mantecadas ME 8p 250g BIM 632,Mantecadas ME ,BIM,250.0,8.0,mantec,29
51,634,Donitas Espolvoreadas ME 12p 210g BIM 634,Donitas Espolvoreadas ME ,BIM,210.0,12.0,donit espolvor,16
52,635,Donas Azucar ME 8p 210g BIM 635,Donas Azucar ME ,BIM,210.0,8.0,don azuc,25
53,641,Bollo Extra Grande 15p 1200g BIM 641,Bollo Extra Grande ,BIM,1200.0,15.0,boll extra grand,22
54,665,Figatza 345g BIM 665,Figatza ,BIM,345.0,,figatz,22
55,693,Tostada Plana 15p 175g MR 693,Tostada Plana ,MR,175.0,15.0,tost plan,16
56,713,Pan Multigrano 680g ORO 713,Pan Multigrano ,ORO,680.0,,pan multigran,22
57,714,7 Granos 680g ORO 714,,ORO,680.0,,,22
58,715,Pan 100pct Integral 680g ORO 715,Pan ,ORO,680.0,,pan,22
59,739,Saladas 200p 2 4Kg LAR 739,Saladas ,LAR,4000.0,200.0,sal,22
60,779,Pan Blanco Silueta 500g BIM 779,Pan Blanco Silueta ,BIM,500.0,,pan blanc siluet,22
61,799,Mini Principe 45g MLA 799,Mini Principe ,MLA,45.0,,mini princip,22
62,815,Tostada Ondulada Reg 30p 360g MR 815,Tostada Ondulada Reg ,MR,360.0,30.0,tost ondul reg,16
63,831,Gansito 10p 500g MLA 831,Gansito ,MLA,500.0,10.0,gansit,22
64,890,Tostada Tubo 3pq 360g MR 890,Tostada Tubo ,MR,360.0,,tost tub,16
65,897,Tostada Ond Tubo 30p 360g Prom MR 897,Tostada Ond Tubo ,MR,360.0,30.0,tost ond tub,16
66,915,Bolillo Congelado 80g DH 915,Bolillo Congelado ,DH,80.0,,bolill congel,5
67,972,Roles Canela 6p 365g BIM 972,Roles Canela ,BIM,365.0,6.0,rol canel,22
68,1031,Pan Bolsa 2a 500g BIM 1031,Pan Bolsa ,BIM,500.0,,pan bols,22
69,1039,Pan 12 Granos 680g ORO 1039,Pan ,ORO,680.0,,pan,22
70,1064,Panque Marmol 255g BIM 1064,Panque Marmol ,BIM,255.0,,panqu marmol,25
71,1101,Tortillinas Gde McD 500g Cn TR 1101,Tortillinas Gde McD ,TR,500.0,,tortillin gde mcd,1
72,1109,Pan Blanco Chico 360g BIM 1109,Pan Blanco Chico ,BIM,360.0,,pan blanc chic,22
73,1111,Pan Blanco 2Pq 1360g BIM 1111,Pan Blanco ,BIM,1360.0,,pan blanc,22
74,1112,Super Pan Blanco 740g BIM 1112,Super Pan Blanco ,BIM,740.0,,sup pan blanc,22
75,1120,Pan Blanco 680g BIM 1120,Pan Blanco ,BIM,680.0,,pan blanc,22
76,1124,Tortillinas 10p 365g Promo 50pct TR 1124,Tortillinas ,TR,365.0,10.0,tortillin,1
77,1125,Tortillinas 10p 255g TR 1125,Tortillinas ,TR,255.0,10.0,tortillin,1
78,1126,Tortillinas Grande 10p 510g TR 1126,Tortillinas Grande ,TR,510.0,10.0,tortillin grand,1
79,1129,Tortillinas 20p 510g TR 1129,Tortillinas ,TR,510.0,20.0,tortillin,1
80,1134,Tortilla Hna 22p 840g Conv DH 1134,Tortilla Hna ,DH,840.0,22.0,tortill hna,22
81,1136,Jugos Guayaba Sonrisas 350ml VR 1136,Jugos Guayaba Sonrisas ,VR,,,jug guay sonris,22
82,1143,Pan Integral Gde 2pq 1360g BIM 1143,Pan Integral Gde ,BIM,1360.0,,pan integral gde,22
83,1144,Pan Integral 480g BIM 1144,Pan Integral ,BIM,480.0,,pan integral,22
84,1145,Pan Integral 680g BIM 1145,Pan Integral ,BIM,680.0,,pan integral,22
85,1146,Pan Integral 675g BIM 1146,Pan Integral ,BIM,675.0,,pan integral,22
86,1147,Tostada Plana 15p 230g DH 1147,Tostada Plana ,DH,230.0,15.0,tost plan,16
87,1148,Tostada Plana de Maiz 20p 180g DH 1148,Tostada Plana de Maiz ,DH,180.0,20.0,tost plan maiz,16
88,1150,Medias Noches 8p 340g BIM 1150,Medias Noches ,BIM,340.0,8.0,medi noch,22
89,1153,Medias Noches 16p 680g BIM 1153,Medias Noches ,BIM,680.0,16.0,medi noch,22
90,1156,Tortillinas 50p 1 31Kg TR 1156,Tortillinas ,TR,31000.0,50.0,tortillin,1
91,1160,Bimbollos 8p 450g BIM 1160,Bimbollos ,BIM,450.0,8.0,bimboll,22
92,1164,Bimbollos 12p 675g BIM 1164,Bimbollos ,BIM,675.0,12.0,bimboll,22
93,1166,Bollo Regular 2pq 30p McD BIM 1166,Bollo Regular ,BIM,,30.0,boll regul,22
94,1167,Bollos Quarter Pounder McD 30p 1700g BIM 1167,Bollos Quarter Pounder McD ,BIM,1700.0,30.0,boll quart pound mcd,22
95,1168,Bollo Big Mac 30p 1200g McD BIM 1168,Bollo Big Mac ,BIM,1200.0,30.0,boll big mac,22
96,1169,Bimbollos Extra 6p 480g BIM 1169,Bimbollos Extra ,BIM,480.0,6.0,bimboll extra,22
97,1178,Chino Congelado 72g Cj DH 1178,Chino Congelado ,DH,72.0,,chin congel,5
98,1180,Tostado 210g BIM 1180,Tostado ,BIM,210.0,,tost,16
99,1182,Tostado 210g CU BIM 1182,Tostado ,BIM,210.0,,tost,16
100,1185,Molido 210g BIM 1185,Molido ,BIM,210.0,,mol,22
101,1187,Molido 5Kg BIM 1187,Molido ,BIM,5000.0,,mol,22
102,1198,Tostado 2pq 420g BIM 1198,Tostado ,BIM,420.0,,tost,16
103,1212,Roles Canela 2p 120g BIM 1212,Roles Canela ,BIM,120.0,2.0,rol canel,22
104,1216,Roles Glass 2p 135g BIM 1216,Roles Glass ,BIM,135.0,2.0,rol glass,22
105,1220,Colchones 6p 130g BIM 1220,Colchones ,BIM,130.0,6.0,colchon,22
106,1230,Panque Pasas 255g BIM 1230,Panque Pasas ,BIM,255.0,,panqu pas,25
107,1232,Panque Nuez 255g BIM 1232,Panque Nuez ,BIM,255.0,,panqu nuez,25
108,1233,Tostado Doble Fibra 250g BIM 1233,Tostado Doble Fibra ,BIM,250.0,,tost dobl fibr,16
109,1238,Panquecito Gota Choc 2p 140g BIM 1238,Panquecito Gota Choc ,BIM,140.0,2.0,panquecit got choc,29
110,1240,Mantecadas Vainilla 4p 125g BIM 1240,Mantecadas Vainilla ,BIM,125.0,4.0,mantec vainill,29
111,1242,Donitas Espolvoreadas 6p 105g BIM 1242,Donitas Espolvoreadas ,BIM,105.0,6.0,donit espolvor,16
112,1250,Donas Azucar 4p 105g BIM 1250,Donas Azucar ,BIM,105.0,4.0,don azuc,25
113,1272,Conchas Chocolate 2p 120g BIM 1272,Conchas Chocolate ,BIM,120.0,2.0,conch chocolat,22
114,1277,Nito Edicion Especial 62g BIM 1277,Nito Edicion Especial ,BIM,62.0,,nit edicion especial,1
115,1278,Nito 1p 62g BIM 1278,Nito ,BIM,62.0,1.0,nit,1
116,1284,Rebanada 2p 55g BIM 1284,Rebanada ,BIM,55.0,2.0,reban,22
117,1289,Donas 6P Prom BIM 1289,Donas ,BIM,,,don,25
118,1294,Lors Tubo 20p 236g MLA 1294,Lors Tubo ,MLA,236.0,20.0,lors tub,22
119,1309,Bimbunuelos 4p 66g BIM 1309,Bimbunuelos ,BIM,66.0,4.0,bimbunuel,22
120,1319,Conchitas Vainilla 2p 65g BIM 1319,Conchitas Vainilla ,BIM,65.0,2.0,conchit vainill,29
121,1348,Surtido Rico KC 454g LAR 1348,Surtido Rico KC ,LAR,454.0,,surt ric kc,22
122,1373,Bollos Extra Ajn FS 12p 960g BIM 1373,Bollos Extra Ajn FS ,BIM,960.0,12.0,boll extra ajn fs,22
123,1464,Donas Panera 26p 650g BIM 1464,Donas Panera ,BIM,650.0,26.0,don paner,25
124,1554,Bimbollos con Ajn 18p 1440g BIM 1554,Bimbollos con Ajn ,BIM,1440.0,18.0,bimboll ajn,22
125,1580,Rosca de Panque Recet Ori 600g CU SUA 1580,Rosca de Panque Recet Ori ,SUA,600.0,,rosc panqu recet ori,25
126,1608,Pastel Chocolate Rec Orig 500g CU SUA 1608,Pastel Chocolate Rec Orig ,SUA,500.0,,pastel chocolat rec orig,22
127,1641,Doraditas 4p TR 1641,Doraditas ,TR,,4.0,doradit,22
128,1643,Bran Frut Pina 40g BIM 1643,Bran Frut Pina ,BIM,40.0,,bran frut pin,22
129,1644,Bran Frut Fresa 40g BIM 1644,Bran Frut Fresa ,BIM,40.0,,bran frut fres,22
130,1647,Animalitos KC 500g LAR 1647,Animalitos KC ,LAR,500.0,,animalit kc,22
131,1686,Tortillas Harina 520g 20p WON 1686,Tortillas Harina ,WON,520.0,20.0,tortill harin,22
132,1687,Roles Glass 6p 410g BIM 1687,Roles Glass ,BIM,410.0,6.0,rol glass,22
133,1700,Tortilla Consumos 550g TR 1700,Tortilla Consumos ,TR,550.0,,tortill consum,22
134,1702,Tortillas Consumos 1 05Kg TR 1702,Tortillas Consumos ,TR,5000.0,,tortill consum,22
135,1876,Totopos 200g MR 1876,Totopos ,MR,200.0,,totop,22
136,1899,Galleta Molida 5Kg LAR 1899,Galleta Molida ,LAR,5000.0,,gallet mol,22
137,1949,Suavicremas Napolitano KC 12p 480g MLA 1949,Suavicremas Napolitano KC ,MLA,480.0,12.0,suavicrem napolitan kc,22
138,2025,Pan Blanco 460g BIM 2025,Pan Blanco ,BIM,460.0,,pan blanc,22
139,2027,Pan Blanco 567g WON 2027,Pan Blanco ,WON,567.0,,pan blanc,22
140,2028,Canelita ETN 3p 30g MLA 2028,Canelita ETN ,MLA,30.0,3.0,canelit etn,22
141,2059,Banderilla Congelada 70g Cj DH 2059,Banderilla Congelada ,DH,70.0,,banderill congel,5
142,2060,Barrita Pina Congelada 75g Cj DH 2060,Barrita Pina Congelada ,DH,75.0,,barrit pin congel,5
143,2062,Concha Vainilla Cong 77g Cj DH 2062,Concha Vainilla Cong ,DH,77.0,,conch vainill cong,22
144,2063,Concha Chocolate Cong 77g Cj DH 2063,Concha Chocolate Cong ,DH,77.0,,conch chocolat cong,22
